iter	RMSE
0	2.277817012
1	2.238953161
2	2.20111067
3	2.162069187
4	2.127020738
5	2.097079789
6	2.070582631
7	2.040895604
8	2.015439596
9	1.993150493
10	1.971808369
11	1.953723639
12	1.937902073
13	1.923643138
14	1.908999787
15	1.896101692
16	1.884168113
17	1.872747179
18	1.862946242
19	1.854255614
20	1.845993849
21	1.838516052
22	1.832022719
23	1.82666446
24	1.82062976
25	1.815666981
26	1.81117249
27	1.805418712
28	1.802102159
29	1.797286126
30	1.793197401
31	1.78906392
32	1.785516555
33	1.783109389
34	1.780077784
35	1.778385207
36	1.776445997
37	1.774866833
38	1.772086778
39	1.770000244
40	1.76788995
41	1.765749595
42	1.763289678
43	1.761404053
44	1.760056358
45	1.758583675
46	1.756923612
47	1.755447588
48	1.75380761
49	1.75301221
50	1.75217926
51	1.750842954
52	1.749497289
53	1.748552061
54	1.747532702
55	1.746644162
56	1.74625689
57	1.745045752
58	1.74403462
59	1.7429789
60	1.741968722
61	1.741422285
62	1.740807757
63	1.739941416
64	1.738633343
65	1.737743371
66	1.736992207
67	1.736166216
68	1.735477697
69	1.734782016
70	1.734071875
71	1.733473978
72	1.732827045
73	1.732377577
74	1.73112904
75	1.73030547
76	1.729601122
77	1.728957883
78	1.728427187
79	1.728056817
80	1.727842454
81	1.727040566
82	1.726827605
83	1.726127633
84	1.725438893
85	1.724722729
86	1.724666419
87	1.724216436
88	1.723484448
89	1.722645931
90	1.72241347
91	1.721855824
92	1.721428755
93	1.720024375
94	1.719319209
95	1.718804453
96	1.717954836
97	1.717603402
98	1.717031813
99	1.716491603
100	1.716134201
101	1.715628207
102	1.714972841
103	1.714395919
104	1.713885196
105	1.713556765
106	1.713091617
107	1.712997209
108	1.712465543
109	1.712187557
110	1.711586317
111	1.711089859
112	1.710762841
113	1.710609501
114	1.710074736
115	1.709440893
116	1.708972185
117	1.708355744
118	1.708032025
119	1.707275439
120	1.706807683
121	1.706125558
122	1.705336352
123	1.705133228
124	1.704805067
125	1.704465023
126	1.704110481
127	1.703634109
128	1.703252311
129	1.702549828
130	1.702045265
131	1.701596322
132	1.701103074
133	1.700828786
134	1.700514255
135	1.700079291
136	1.699835244
137	1.699545546
138	1.699025371
139	1.698663313
140	1.69827688
141	1.69766032
142	1.697154467
143	1.696708078
144	1.696242978
145	1.695584298
146	1.695189542
147	1.694595963
148	1.693938529
149	1.693482842
150	1.693419094
151	1.693351158
152	1.693250727
153	1.692607792
154	1.692103303
155	1.691900233
156	1.691351749
157	1.690983611
158	1.690145575
159	1.689902642
160	1.689574072
161	1.689459683
162	1.689175361
163	1.688924473
164	1.688690086
165	1.68859884
166	1.688387778
167	1.688155373
168	1.687742661
169	1.68742561
170	1.687271879
171	1.686734163
172	1.686641163
173	1.686185729
174	1.685933655
175	1.685529549
176	1.685126995
177	1.684770114
178	1.684542159
179	1.684071885
180	1.683579362
181	1.68329611
182	1.683035266
183	1.682593388
184	1.681735805
185	1.681630136
186	1.680913244
187	1.680753048
188	1.680303294
189	1.680039504
190	1.679835306
191	1.679713223
192	1.679582858
193	1.679404087
194	1.679235059
195	1.678805423
196	1.678673995
197	1.678284118
198	1.678020839
199	1.677759008
200	1.677172266
201	1.677051812
202	1.67629409
203	1.675824402
204	1.675341894
205	1.674976127
206	1.674258212
207	1.673733748
208	1.672833418
209	1.67249867
210	1.671741461
211	1.6712118
212	1.670268187
213	1.669434566
214	1.669169058
215	1.668597948
216	1.668026808
217	1.667361899
218	1.666578513
219	1.666301877
220	1.665754639
221	1.665046767
222	1.664494693
223	1.66373835
224	1.663296859
225	1.662718635
226	1.662221457
227	1.661649463
228	1.660762326
229	1.660278704
230	1.659753924
231	1.65931983
232	1.65900748
233	1.658422817
234	1.657712317
235	1.657359845
236	1.656879339
237	1.656299881
238	1.655549362
239	1.655132968
240	1.654407114
241	1.653964393
242	1.653570875
243	1.652575321
244	1.651633089
245	1.651020738
246	1.650359668
247	1.649715514
248	1.648992331
249	1.648473229
250	1.647887442
251	1.647100108
252	1.646458646
253	1.645617945
254	1.644914499
255	1.644545344
256	1.644315531
257	1.643573994
258	1.642881259
259	1.642393811
260	1.642106839
261	1.641393678
262	1.641034568
263	1.640865737
264	1.64028257
265	1.639835357
266	1.639328273
267	1.638848669
268	1.638353236
269	1.637603231
270	1.637081112
