iter	Passed	Remaining
0	17	4829
1	36	4872
2	54	4833
3	72	4808
4	91	4846
5	107	4757
6	124	4689
7	142	4682
8	160	4663
9	179	4676
10	197	4674
11	212	4585
12	225	4481
13	238	4387
14	252	4307
15	265	4231
16	278	4160
17	291	4097
18	305	4046
19	318	3995
20	331	3951
21	345	3909
22	358	3870
23	372	3831
24	385	3794
25	398	3758
26	410	3708
27	420	3651
28	431	3600
29	442	3553
30	453	3512
31	467	3489
32	478	3447
33	488	3403
34	499	3369
35	510	3334
36	521	3300
37	532	3266
38	542	3228
39	553	3195
40	564	3168
41	575	3140
42	586	3110
43	597	3081
44	607	3050
45	618	3024
46	629	3002
47	640	2976
48	651	2952
49	661	2922
50	671	2897
51	686	2889
52	696	2865
53	707	2842
54	718	2819
55	729	2800
56	739	2777
57	750	2756
58	760	2732
59	770	2709
60	783	2696
61	793	2673
62	803	2653
63	814	2632
64	827	2621
65	845	2624
66	854	2603
67	866	2587
68	877	2570
69	887	2547
70	897	2527
71	907	2507
72	919	2493
73	928	2472
74	939	2454
75	950	2438
76	964	2430
77	976	2415
78	986	2398
79	998	2383
80	1009	2368
81	1022	2357
82	1032	2339
83	1044	2324
84	1055	2308
85	1068	2298
86	1076	2276
87	1087	2262
88	1100	2251
89	1113	2239
90	1126	2228
91	1137	2212
92	1149	2199
93	1162	2189
94	1174	2176
95	1185	2161
96	1197	2148
97	1211	2139
98	1222	2124
99	1233	2109
100	1246	2098
101	1261	2089
102	1272	2074
103	1282	2059
104	1294	2047
105	1307	2035
106	1319	2022
107	1328	2005
108	1342	1995
109	1354	1982
110	1366	1970
111	1378	1957
112	1388	1941
113	1400	1928
114	1411	1914
115	1421	1899
116	1432	1886
117	1443	1871
118	1455	1858
119	1469	1849
120	1481	1837
121	1492	1823
122	1503	1808
123	1515	1796
124	1527	1784
125	1537	1769
126	1556	1764
127	1566	1750
128	1576	1735
129	1588	1722
130	1598	1708
131	1610	1695
132	1620	1681
133	1631	1667
134	1641	1654
135	1652	1640
136	1663	1626
137	1672	1612
138	1683	1599
139	1694	1585
140	1705	1572
141	1715	1558
142	1727	1546
143	1737	1532
144	1748	1519
145	1760	1507
146	1770	1493
147	1781	1480
148	1791	1467
149	1802	1454
150	1812	1440
151	1823	1427
152	1833	1413
153	1843	1400
154	1854	1387
155	1864	1374
156	1875	1362
157	1886	1348
158	1896	1335
159	1905	1322
160	1915	1308
161	1925	1295
162	1934	1282
163	1945	1269
164	1957	1257
165	1967	1244
166	1977	1231
167	1987	1218
168	1998	1205
169	2008	1193
170	2018	1180
171	2029	1168
172	2040	1155
173	2051	1143
174	2062	1131
175	2073	1119
176	2084	1107
177	2095	1094
178	2106	1082
179	2117	1070
180	2128	1058
181	2139	1046
182	2150	1034
183	2161	1022
184	2172	1009
185	2182	997
186	2193	985
187	2203	972
188	2213	960
189	2223	948
190	2234	935
191	2244	923
192	2256	911
193	2267	899
194	2278	887
195	2289	875
196	2301	864
197	2312	852
198	2329	842
199	2339	830
200	2348	817
201	2357	805
202	2368	793
203	2378	781
204	2388	769
205	2399	756
206	2408	744
207	2419	732
208	2430	721
209	2441	709
210	2452	697
211	2463	685
212	2474	673
213	2484	661
214	2494	649
215	2504	637
216	2515	625
217	2526	614
218	2536	602
219	2546	590
220	2556	578
221	2568	566
222	2579	555
223	2590	543
224	2601	531
225	2613	520
226	2624	508
227	2635	496
228	2646	485
229	2658	473
230	2670	462
231	2681	450
232	2693	439
233	2704	427
234	2716	416
235	2727	404
236	2742	393
237	2754	381
238	2766	370
239	2778	358
240	2790	347
241	2802	335
242	2814	324
243	2826	312
244	2838	301
245	2851	289
246	2863	278
247	2875	266
248	2887	255
249	2899	243
250	2911	231
251	2923	220
252	2935	208
253	2947	197
254	2959	185
255	2972	174
256	2986	162
257	2998	151
258	3011	139
259	3020	127
260	3029	116
261	3046	104
262	3056	92
263	3066	81
264	3075	69
265	3087	58
266	3098	46
267	3109	34
268	3120	23
269	3131	11
270	3142	0
